Reaction	ReactionID	Compartment	Metabolite	MetName	StoiCoef
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	r_0015	c_03	s_1212	NADPH [cytoplasm]	-1.0
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	r_0015	c_03	s_0142	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone [cytoplasm]	1.0
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	r_0015	c_03	s_1207	NADP(+) [cytoplasm]	1.0
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	r_0015	c_03	e_0071	RIB7 [cytoplasm]
2-aceto-2-hydroxybutanoate synthase	r_0016	c_11	s_0179	2-oxobutanoate [mitochondrion]	-1.0
2-aceto-2-hydroxybutanoate synthase	r_0016	c_11	s_0799	H+ [mitochondrion]	-1.0
2-aceto-2-hydroxybutanoate synthase	r_0016	c_11	s_1401	pyruvate [mitochondrion]	-1.0
2-aceto-2-hydroxybutanoate synthase	r_0016	c_11	s_0039	(S)-2-acetyl-2-hydroxybutanoate [mitochondrion]	1.0
2-aceto-2-hydroxybutanoate synthase	r_0016	c_11	s_0460	carbon dioxide [mitochondrion]	1.0
2-aceto-2-hydroxybutanoate synthase	r_0016	c_11	e_0734	ILV2 [mitochondrion]
2-aceto-2-hydroxybutanoate synthase	r_0016	c_11	e_0100	ILV6 [mitochondrion]
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	r_0017	c_11	s_0148	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol [mitochondrion]	-1.0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	r_0017	c_11	s_0437	ATP [mitochondrion]	-1.0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	r_0017	c_11	s_0006	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate [mitochondrion]	1.0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	r_0017	c_11	s_0424	AMP [mitochondrion]	1.0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	r_0017	c_11	s_0799	H+ [mitochondrion]	1.0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	r_0017	c_11	e_0794	FOL1 [mitochondrion]
2-aminoadipate transaminase	r_0018	c_03	s_0176	2-oxoadipic acid [cytoplasm]	-1.0
2-aminoadipate transaminase	r_0018	c_03	s_0991	L-glutamate [cytoplasm]	-1.0
2-aminoadipate transaminase	r_0018	c_03	s_0180	2-oxoglutarate [cytoplasm]	1.0
2-aminoadipate transaminase	r_0018	c_03	s_0953	L-2-aminoadipate [cytoplasm]	1.0
2-aminoadipate transaminase	r_0018	c_03	e_0348	ARO8 [cytoplasm]
2-aminoadipate transaminase	r_0018	c_03	e_0496	BNA3 [cytoplasm]
2-aminoadipate transaminase	r_0018	c_03	e_0980	YER152C [cytoplasm]
2-dehydropantoate 2-reductase	r_0019	c_03	s_0149	2-dehydropantoate [cytoplasm]	-1.0
2-dehydropantoate 2-reductase	r_0019	c_03	s_0794	H+ [cytoplasm]	-1.0
2-dehydropantoate 2-reductase	r_0019	c_03	s_1212	NADPH [cytoplasm]	-1.0
2-dehydropantoate 2-reductase	r_0019	c_03	s_0030	(R)-pantoate [cytoplasm]	1.0
2-dehydropantoate 2-reductase	r_0019	c_03	s_1207	NADP(+) [cytoplasm]	1.0
2-dehydropantoate 2-reductase	r_0019	c_03	e_0437	PAN5 [cytoplasm]
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0020	c_11	s_0552	D-erythrose 4-phosphate [mitochondrion]	-1.0
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0020	c_11	s_0807	H2O [mitochondrion]	-1.0
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0020	c_11	s_1361	phosphoenolpyruvate [mitochondrion]	-1.0
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0020	c_11	s_0350	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid [mitochondrion]	1.0
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0020	c_11	s_1326	phosphate [mitochondrion]	1.0
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0020	c_11	e_0170	ARO3 [mitochondrion]
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	s_0155	2-hexaprenyl-6-methoxy-1,4-benzoquinone [mitochondrion]	-1.0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	s_1419	S-adenosyl-L-methionine [mitochondrion]	-1.0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	s_0156	2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone [mitochondrion]	1.0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	s_0799	H+ [mitochondrion]	1.0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	s_1415	S-adenosyl-L-homocysteine [mitochondrion]	1.0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	e_0858	CAT5 [mitochondrion]
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	e_0835	COQ3 [mitochondrion]
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	e_0713	COQ5 [mitochondrion]
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	e_0339	COQ8 [mitochondrion]
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	e_0406	COQ6 [mitochondrion]
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	e_0191	COQ4 [mitochondrion]
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	r_0021	c_11	e_0660	COQ9 [mitochondrion]
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	s_0157	2-hexaprenyl-6-methoxyphenol [mitochondrion]	-1.0
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	s_1278	oxygen [mitochondrion]	-1.0
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	s_0155	2-hexaprenyl-6-methoxy-1,4-benzoquinone [mitochondrion]	1.0
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	s_0807	H2O [mitochondrion]	1.0
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	e_0858	CAT5 [mitochondrion]
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	e_0835	COQ3 [mitochondrion]
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	e_0713	COQ5 [mitochondrion]
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	e_0339	COQ8 [mitochondrion]
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	e_0406	COQ6 [mitochondrion]
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	e_0191	COQ4 [mitochondrion]
2-hexaprenyl-6-methoxyphenol monooxygenase	r_0022	c_11	e_0660	COQ9 [mitochondrion]
2-isopropylmalate hydratase	r_0023	c_03	s_0165	2-isopropylmaleic acid [cytoplasm]	-1.0
2-isopropylmalate hydratase	r_0023	c_03	s_0803	H2O [cytoplasm]	-1.0
2-isopropylmalate hydratase	r_0023	c_03	s_0162	2-isopropylmalate [cytoplasm]	1.0
2-isopropylmalate hydratase	r_0023	c_03	e_0328	LEU1 [cytoplasm]
2-isopropylmalate synthase	r_0024	c_03	s_0232	3-methyl-2-oxobutanoate [cytoplasm]	-1.0
2-isopropylmalate synthase	r_0024	c_03	s_0373	acetyl-CoA [cytoplasm]	-1.0
2-isopropylmalate synthase	r_0024	c_03	s_0803	H2O [cytoplasm]	-1.0
2-isopropylmalate synthase	r_0024	c_03	s_0162	2-isopropylmalate [cytoplasm]	1.0
2-isopropylmalate synthase	r_0024	c_03	s_0529	coenzyme A [cytoplasm]	1.0
2-isopropylmalate synthase	r_0024	c_03	s_0794	H+ [cytoplasm]	1.0
2-isopropylmalate synthase	r_0024	c_03	e_0778	LEU4 [cytoplasm]
2-isopropylmalate synthase	r_0024	c_03	e_0855	LEU9 [cytoplasm]
2-isopropylmalate synthase	r_0025	c_11	s_0233	3-methyl-2-oxobutanoate [mitochondrion]	-1.0
2-isopropylmalate synthase	r_0025	c_11	s_0376	acetyl-CoA [mitochondrion]	-1.0
2-isopropylmalate synthase	r_0025	c_11	s_0807	H2O [mitochondrion]	-1.0
2-isopropylmalate synthase	r_0025	c_11	s_0164	2-isopropylmalate [mitochondrion]	1.0
2-isopropylmalate synthase	r_0025	c_11	s_0532	coenzyme A [mitochondrion]	1.0
2-isopropylmalate synthase	r_0025	c_11	s_0799	H+ [mitochondrion]	1.0
2-isopropylmalate synthase	r_0025	c_11	e_0779	LEU4 [mitochondrion]
2-keto-4-methylthiobutyrate transamination	r_0026	c_03	s_0294	4-methylthio-2-oxobutanoate [cytoplasm]	-1.0
2-keto-4-methylthiobutyrate transamination	r_0026	c_03	s_0991	L-glutamate [cytoplasm]	-1.0
2-keto-4-methylthiobutyrate transamination	r_0026	c_03	s_0180	2-oxoglutarate [cytoplasm]	1.0
2-keto-4-methylthiobutyrate transamination	r_0026	c_03	s_1029	L-methionine [cytoplasm]	1.0
2-methylcitrate dehydratase	r_0027	c_11	s_0834	homocitrate [mitochondrion]	-1.0
2-methylcitrate dehydratase	r_0027	c_11	s_0454	but-1-ene-1,2,4-tricarboxylic acid [mitochondrion]	1.0
2-methylcitrate dehydratase	r_0027	c_11	s_0807	H2O [mitochondrion]	1.0
2-methylcitrate dehydratase	r_0027	c_11	e_0196	LYS4 [mitochondrion]
2-methylcitrate synthase	r_0028	c_11	s_0807	H2O [mitochondrion]	-1.0
2-methylcitrate synthase	r_0028	c_11	s_1273	oxaloacetate [mitochondrion]	-1.0
2-methylcitrate synthase	r_0028	c_11	s_1382	propionyl-CoA [mitochondrion]	-1.0
2-methylcitrate synthase	r_0028	c_11	s_0174	2-methylcitrate [mitochondrion]	1.0
2-methylcitrate synthase	r_0028	c_11	s_0532	coenzyme A [mitochondrion]	1.0
2-methylcitrate synthase	r_0028	c_11	s_0799	H+ [mitochondrion]	1.0
2-methylcitrate synthase	r_0028	c_11	e_0947	CIT3 [mitochondrion]
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	r_0029	c_03	s_0010	(2S)-2-isopropyl-3-oxosuccinate [cytoplasm]	-1.0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	r_0029	c_03	s_0794	H+ [cytoplasm]	-1.0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	r_0029	c_03	s_0291	4-methyl-2-oxopentanoate [cytoplasm]	1.0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	r_0029	c_03	s_0456	carbon dioxide [cytoplasm]	1.0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	r_0029	c_03	e_0550	BAT2 [cytoplasm]
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	r_0030	c_11	s_0011	(2S)-2-isopropyl-3-oxosuccinate [mitochondrion]	-1.0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	r_0030	c_11	s_0799	H+ [mitochondrion]	-1.0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	r_0030	c_11	s_0292	4-methyl-2-oxopentanoate [mitochondrion]	1.0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	r_0030	c_11	s_0460	carbon dioxide [mitochondrion]	1.0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	r_0030	c_11	e_0457	BAT1 [mitochondrion]
3',5'-bisphosphate nucleotidase	r_0032	c_03	s_0390	adenosine 3',5'-bismonophosphate [cytoplasm]	-1.0
3',5'-bisphosphate nucleotidase	r_0032	c_03	s_0803	H2O [cytoplasm]	-1.0
3',5'-bisphosphate nucleotidase	r_0032	c_03	s_0423	AMP [cytoplasm]	1.0
3',5'-bisphosphate nucleotidase	r_0032	c_03	s_1322	phosphate [cytoplasm]	1.0
3',5'-bisphosphate nucleotidase	r_0032	c_03	e_0830	MET22 [cytoplasm]
3',5'-cyclic-nucleotide phosphodiesterase	r_0033	c_03	s_0192	3',5'-cyclic AMP [cytoplasm]	-1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0033	c_03	s_0803	H2O [cytoplasm]	-1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0033	c_03	s_0423	AMP [cytoplasm]	1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0033	c_03	s_0794	H+ [cytoplasm]	1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0033	c_03	e_0897	PDE2 [cytoplasm]
3',5'-cyclic-nucleotide phosphodiesterase	r_0033	c_03	e_0354	PDE1 [cytoplasm]
3',5'-cyclic-nucleotide phosphodiesterase	r_0034	c_03	s_0194	3',5'-cyclic dAMP [cytoplasm]	-1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0034	c_03	s_0803	H2O [cytoplasm]	-1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0034	c_03	s_0584	dAMP [cytoplasm]	1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0034	c_03	s_0794	H+ [cytoplasm]	1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0034	c_03	e_0897	PDE2 [cytoplasm]
3',5'-cyclic-nucleotide phosphodiesterase	r_0035	c_03	s_0196	3',5'-cyclic IMP [cytoplasm]	-1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0035	c_03	s_0803	H2O [cytoplasm]	-1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0035	c_03	s_0794	H+ [cytoplasm]	1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0035	c_03	s_0849	IMP [cytoplasm]	1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0035	c_03	e_0897	PDE2 [cytoplasm]
3',5'-cyclic-nucleotide phosphodiesterase	r_0036	c_03	s_0195	3',5'-cyclic GMP [cytoplasm]	-1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0036	c_03	s_0803	H2O [cytoplasm]	-1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0036	c_03	s_0782	GMP [cytoplasm]	1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0036	c_03	s_0794	H+ [cytoplasm]	1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0036	c_03	e_0897	PDE2 [cytoplasm]
3',5'-cyclic-nucleotide phosphodiesterase	r_0037	c_03	s_0193	3',5'-cyclic CMP [cytoplasm]	-1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0037	c_03	s_0803	H2O [cytoplasm]	-1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0037	c_03	s_0526	CMP [cytoplasm]	1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0037	c_03	s_0794	H+ [cytoplasm]	1.0
3',5'-cyclic-nucleotide phosphodiesterase	r_0037	c_03	e_0897	PDE2 [cytoplasm]
3,4-dihydroxy-2-butanone-4-phosphate synthase	r_0038	c_03	s_0577	D-ribulose 5-phosphate [cytoplasm]	-1.0
3,4-dihydroxy-2-butanone-4-phosphate synthase	r_0038	c_03	s_0158	2-hydroxy-3-oxobutyl phosphate [cytoplasm]	1.0
3,4-dihydroxy-2-butanone-4-phosphate synthase	r_0038	c_03	s_0722	formate [cytoplasm]	1.0
3,4-dihydroxy-2-butanone-4-phosphate synthase	r_0038	c_03	s_0794	H+ [cytoplasm]	1.0
3,4-dihydroxy-2-butanone-4-phosphate synthase	r_0038	c_03	e_0237	RIB3 [cytoplasm]
3-dehydroquinate dehydratase	r_0039	c_03	s_0210	3-dehydroquinate [cytoplasm]	-1.0
3-dehydroquinate dehydratase	r_0039	c_03	s_0211	3-dehydroshikimate [cytoplasm]	1.0
3-dehydroquinate dehydratase	r_0039	c_03	s_0803	H2O [cytoplasm]	1.0
3-dehydroquinate dehydratase	r_0039	c_03	e_0182	ARO1 [cytoplasm]
3-dehydroquinate synthase	r_0040	c_03	s_0349	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid [cytoplasm]	-1.0
3-dehydroquinate synthase	r_0040	c_03	s_0210	3-dehydroquinate [cytoplasm]	1.0
3-dehydroquinate synthase	r_0040	c_03	s_1322	phosphate [cytoplasm]	1.0
3-dehydroquinate synthase	r_0040	c_03	e_0182	ARO1 [cytoplasm]
3-dehydrosphinganine reductase	r_0041	c_04	s_0231	3-ketosphinganine [endoplasmic reticulum]	-1.0
3-dehydrosphinganine reductase	r_0041	c_04	s_0795	H+ [endoplasmic reticulum]	-2.0
3-dehydrosphinganine reductase	r_0041	c_04	s_1213	NADPH [endoplasmic reticulum]	-1.0
3-dehydrosphinganine reductase	r_0041	c_04	s_1208	NADP(+) [endoplasmic reticulum]	1.0
3-dehydrosphinganine reductase	r_0041	c_04	s_1445	sphinganine [endoplasmic reticulum]	1.0
3-dehydrosphinganine reductase	r_0041	c_04	e_0092	TSC10 [endoplasmic reticulum]
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0042	c_03	s_0551	D-erythrose 4-phosphate [cytoplasm]	-1.0
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0042	c_03	s_0803	H2O [cytoplasm]	-1.0
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0042	c_03	s_1360	phosphoenolpyruvate [cytoplasm]	-1.0
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0042	c_03	s_0349	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid [cytoplasm]	1.0
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0042	c_03	s_1322	phosphate [cytoplasm]	1.0
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0042	c_03	e_0088	ARO4 [cytoplasm]
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	r_0042	c_03	e_0169	ARO3 [cytoplasm]
3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	r_0043	c_03	s_0215	3-hexaprenyl-4-hydroxybenzoic acid [cytoplasm]	-1.0
3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	r_0043	c_03	s_1275	oxygen [cytoplasm]	-0.5
3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	r_0043	c_03	s_0212	3-hexaprenyl-4,5-dihydroxybenzoic acid [cytoplasm]	1.0
3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	r_0044	c_11	s_0214	3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid [mitochondrion]	-1.0
3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	r_0044	c_11	s_0799	H+ [mitochondrion]	-1.0
3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	r_0044	c_11	s_0157	2-hexaprenyl-6-methoxyphenol [mitochondrion]	1.0
3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	r_0044	c_11	s_0460	carbon dioxide [mitochondrion]	1.0
