SpeciesID	SpeciesName	Annotation
s_0069	(S)-malate [peroxisome]	http://identifiers.org/kegg.compound/C00149
s_0075	1,3-bisphospho-D-glycerate [cytoplasm]	http://identifiers.org/chebi/CHEBI:57604
s_0075	1,3-bisphospho-D-glycerate [cytoplasm]	http://identifiers.org/kegg.compound/C00236
s_0076	1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [cytoplasm]	http://identifiers.org/chebi/CHEBI:58613
s_0076	1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [cytoplasm]	http://identifiers.org/kegg.compound/C01302
s_0077	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide [cytoplasm]	http://identifiers.org/chebi/CHEBI:58435
s_0077	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide [cytoplasm]	http://identifiers.org/kegg.compound/C04896
s_0078	1-(5-phosphoribosyl)-5'-AMP [cytoplasm]	http://identifiers.org/chebi/CHEBI:59457
s_0078	1-(5-phosphoribosyl)-5'-AMP [cytoplasm]	http://identifiers.org/kegg.compound/C02741
s_0079	1-(sn-glycero-3-phospho)-1D-myo-inositol [cytoplasm]	http://identifiers.org/chebi/CHEBI:58444
s_0079	1-(sn-glycero-3-phospho)-1D-myo-inositol [cytoplasm]	http://identifiers.org/kegg.compound/C01225
s_0080	1-(sn-glycero-3-phospho)-1D-myo-inositol [extracellular]	http://identifiers.org/chebi/CHEBI:58444
s_0080	1-(sn-glycero-3-phospho)-1D-myo-inositol [extracellular]	http://identifiers.org/kegg.compound/C01225
s_0084	1-acylglycerophosphocholine [extracellular]	http://identifiers.org/chebi/CHEBI:11230
s_0084	1-acylglycerophosphocholine [extracellular]	http://identifiers.org/kegg.compound/C04230
s_0086	1-C-(indol-3-yl)glycerol 3-phosphate [cytoplasm]	http://identifiers.org/chebi/CHEBI:60820
s_0086	1-C-(indol-3-yl)glycerol 3-phosphate [cytoplasm]	http://identifiers.org/kegg.compound/C03506
s_0087	1-methylnicotinamide [cytoplasm]	http://identifiers.org/chebi/CHEBI:16797
s_0087	1-methylnicotinamide [cytoplasm]	http://identifiers.org/kegg.compound/C02918
s_0089	1-phosphatidyl-1D-myo-inositol [cytoplasm]	http://identifiers.org/chebi/CHEBI:57880
s_0089	1-phosphatidyl-1D-myo-inositol [cytoplasm]	http://identifiers.org/kegg.compound/C01194
s_0116	1-pyrroline-3-hydroxy-5-carboxylic acid [cytoplasm]	http://identifiers.org/chebi/CHEBI:58509
s_0116	1-pyrroline-3-hydroxy-5-carboxylic acid [cytoplasm]	http://identifiers.org/kegg.compound/C04281
s_0117	1-pyrroline-3-hydroxy-5-carboxylic acid [mitochondrion]	http://identifiers.org/chebi/CHEBI:58509
s_0117	1-pyrroline-3-hydroxy-5-carboxylic acid [mitochondrion]	http://identifiers.org/kegg.compound/C04281
s_0118	1-pyrroline-5-carboxylate [cytoplasm]	http://identifiers.org/chebi/CHEBI:15893
s_0118	1-pyrroline-5-carboxylate [cytoplasm]	http://identifiers.org/kegg.compound/C04322
s_0119	1-pyrroline-5-carboxylate [mitochondrion]	http://identifiers.org/chebi/CHEBI:15893
s_0119	1-pyrroline-5-carboxylate [mitochondrion]	http://identifiers.org/kegg.compound/C04322
s_0120	10-formyl-THF [cytoplasm]	http://identifiers.org/chebi/CHEBI:57454
s_0120	10-formyl-THF [cytoplasm]	http://identifiers.org/kegg.compound/C00234
s_0121	10-formyl-THF [mitochondrion]	http://identifiers.org/chebi/CHEBI:57454
s_0121	10-formyl-THF [mitochondrion]	http://identifiers.org/kegg.compound/C00234
s_0122	14-demethyllanosterol [cytoplasm]	http://identifiers.org/chebi/CHEBI:18364
s_0122	14-demethyllanosterol [cytoplasm]	http://identifiers.org/kegg.compound/C05108
s_0123	1D-myo-inositol 1,3,4,5-tetrakisphosphate [nucleus]	http://identifiers.org/chebi/CHEBI:57895
s_0123	1D-myo-inositol 1,3,4,5-tetrakisphosphate [nucleus]	http://identifiers.org/kegg.compound/C01272
s_0124	1D-myo-inositol 1,4,5,6-tetrakisphosphate [nucleus]	http://identifiers.org/chebi/CHEBI:57627
s_0124	1D-myo-inositol 1,4,5,6-tetrakisphosphate [nucleus]	http://identifiers.org/kegg.compound/C11555
s_0125	1D-myo-inositol 1,4,5-trisphosphate [nucleus]	http://identifiers.org/chebi/CHEBI:203600
s_0125	1D-myo-inositol 1,4,5-trisphosphate [nucleus]	http://identifiers.org/kegg.compound/C01245
s_0126	1D-myo-inositol 1-phosphate [cytoplasm]	http://identifiers.org/chebi/CHEBI:58433
s_0126	1D-myo-inositol 1-phosphate [cytoplasm]	http://identifiers.org/kegg.compound/C01177
s_0127	1D-myo-inositol 1-phosphate [endoplasmic reticulum]	http://identifiers.org/chebi/CHEBI:58433
s_0127	1D-myo-inositol 1-phosphate [endoplasmic reticulum]	http://identifiers.org/kegg.compound/C01177
s_0129	1D-myo-inositol 3-phosphate [mitochondrion]	http://identifiers.org/chebi/CHEBI:58401
s_0129	1D-myo-inositol 3-phosphate [mitochondrion]	http://identifiers.org/kegg.compound/C04006
s_0131	2',3'-cyclic AMP [cytoplasm]	http://identifiers.org/chebi/CHEBI:60879
s_0131	2',3'-cyclic AMP [cytoplasm]	http://identifiers.org/kegg.compound/C02353
s_0132	2'-deoxyadenosine [cytoplasm]	http://identifiers.org/chebi/CHEBI:17256
s_0132	2'-deoxyadenosine [cytoplasm]	http://identifiers.org/kegg.compound/C00559
s_0133	2'-deoxyadenosine [extracellular]	http://identifiers.org/chebi/CHEBI:17256
s_0133	2'-deoxyadenosine [extracellular]	http://identifiers.org/kegg.compound/C00559
s_0134	2'-deoxyguanosine [cytoplasm]	http://identifiers.org/chebi/CHEBI:17172
s_0134	2'-deoxyguanosine [cytoplasm]	http://identifiers.org/kegg.compound/C00330
s_0135	2'-deoxyguanosine [extracellular]	http://identifiers.org/chebi/CHEBI:17172
s_0135	2'-deoxyguanosine [extracellular]	http://identifiers.org/kegg.compound/C00330
s_0136	2'-deoxyinosine [cytoplasm]	http://identifiers.org/chebi/CHEBI:28997
s_0136	2'-deoxyinosine [cytoplasm]	http://identifiers.org/kegg.compound/C05512
s_0137	2'-deoxyinosine [extracellular]	http://identifiers.org/chebi/CHEBI:28997
s_0137	2'-deoxyinosine [extracellular]	http://identifiers.org/kegg.compound/C05512
s_0138	2'-deoxyuridine [cytoplasm]	http://identifiers.org/chebi/CHEBI:16450
s_0138	2'-deoxyuridine [cytoplasm]	http://identifiers.org/kegg.compound/C00526
s_0139	2'-deoxyuridine [extracellular]	http://identifiers.org/chebi/CHEBI:16450
s_0139	2'-deoxyuridine [extracellular]	http://identifiers.org/kegg.compound/C00526
s_0140	2,3-bisphospho-D-glyceric acid [cytoplasm]	http://identifiers.org/chebi/CHEBI:58248
s_0140	2,3-bisphospho-D-glyceric acid [cytoplasm]	http://identifiers.org/kegg.compound/C01159
s_0141	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine [cytoplasm]	http://identifiers.org/chebi/CHEBI:58614
s_0141	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine [cytoplasm]	http://identifiers.org/kegg.compound/C01304
s_0142	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone [cytoplasm]	http://identifiers.org/chebi/CHEBI:52957
s_0143	2-(3-amino-3-carboxypropyl)-L-histidine [cytoplasm]	http://identifiers.org/chebi/CHEBI:17144
s_0143	2-(3-amino-3-carboxypropyl)-L-histidine [cytoplasm]	http://identifiers.org/kegg.compound/C04441
s_0144	2-[3-carboxy-3-(methylammonio)propyl]-L-histidine [cytoplasm]	http://identifiers.org/chebi/CHEBI:57784
s_0144	2-[3-carboxy-3-(methylammonio)propyl]-L-histidine [cytoplasm]	http://identifiers.org/kegg.compound/C04692
s_0145	2-acetamido-5-oxopentanoate [mitochondrion]	http://identifiers.org/chebi/CHEBI:29123
s_0145	2-acetamido-5-oxopentanoate [mitochondrion]	http://identifiers.org/kegg.compound/C01250
s_0146	2-acetyllactic acid [mitochondrion]	http://identifiers.org/chebi/CHEBI:57774
s_0146	2-acetyllactic acid [mitochondrion]	http://identifiers.org/kegg.compound/C00900
s_0147	2-amino-3-carboxymuconate-6-semialdehyde [cytoplasm]	http://identifiers.org/chebi/CHEBI:29044
s_0148	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol [mitochondrion]	http://identifiers.org/chebi/CHEBI:17083
s_0148	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol [mitochondrion]	http://identifiers.org/kegg.compound/C01300
s_0149	2-dehydropantoate [cytoplasm]	http://identifiers.org/chebi/CHEBI:11561
s_0149	2-dehydropantoate [cytoplasm]	http://identifiers.org/kegg.compound/C00966
s_0150	2-dehydropantoate [mitochondrion]	http://identifiers.org/chebi/CHEBI:11561
s_0150	2-dehydropantoate [mitochondrion]	http://identifiers.org/kegg.compound/C00966
s_0151	2-deoxy-D-ribofuranose 1-phosphate [cytoplasm]	http://identifiers.org/chebi/CHEBI:58576
s_0151	2-deoxy-D-ribofuranose 1-phosphate [cytoplasm]	http://identifiers.org/kegg.compound/C00672
s_0152	2-deoxy-D-ribose [cytoplasm]	http://identifiers.org/chebi/CHEBI:28816
s_0152	2-deoxy-D-ribose [cytoplasm]	http://identifiers.org/kegg.compound/C01801
s_0153	2-deoxy-D-ribose 5-phosphate [cytoplasm]	http://identifiers.org/chebi/CHEBI:57651
s_0153	2-deoxy-D-ribose 5-phosphate [cytoplasm]	http://identifiers.org/kegg.compound/C00673
s_0154	2-hexaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone [mitochondrion]	http://identifiers.org/chebi/CHEBI:28753
s_0154	2-hexaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone [mitochondrion]	http://identifiers.org/kegg.compound/C05805
s_0155	2-hexaprenyl-6-methoxy-1,4-benzoquinone [mitochondrion]	http://identifiers.org/chebi/CHEBI:27752
s_0155	2-hexaprenyl-6-methoxy-1,4-benzoquinone [mitochondrion]	http://identifiers.org/kegg.compound/C05803
s_0156	2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone [mitochondrion]	http://identifiers.org/chebi/CHEBI:28711
s_0156	2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone [mitochondrion]	http://identifiers.org/kegg.compound/C05804
s_0157	2-hexaprenyl-6-methoxyphenol [mitochondrion]	http://identifiers.org/chebi/CHEBI:1109
s_0157	2-hexaprenyl-6-methoxyphenol [mitochondrion]	http://identifiers.org/kegg.compound/C05802
s_0158	2-hydroxy-3-oxobutyl phosphate [cytoplasm]	http://identifiers.org/chebi/CHEBI:50606
s_0158	2-hydroxy-3-oxobutyl phosphate [cytoplasm]	http://identifiers.org/kegg.compound/C15556
s_0161	2-hydroxyhexadecanal [endoplasmic reticulum]	http://identifiers.org/chebi/CHEBI:50626
s_0162	2-isopropylmalate [cytoplasm]	http://identifiers.org/chebi/CHEBI:35129
s_0162	2-isopropylmalate [cytoplasm]	http://identifiers.org/kegg.compound/C02504
s_0163	2-isopropylmalate [extracellular]	http://identifiers.org/chebi/CHEBI:35129
s_0163	2-isopropylmalate [extracellular]	http://identifiers.org/kegg.compound/C02504
s_0164	2-isopropylmalate [mitochondrion]	http://identifiers.org/chebi/CHEBI:35129
s_0164	2-isopropylmalate [mitochondrion]	http://identifiers.org/kegg.compound/C02504
s_0165	2-isopropylmaleic acid [cytoplasm]	http://identifiers.org/chebi/CHEBI:58085
s_0165	2-isopropylmaleic acid [cytoplasm]	http://identifiers.org/kegg.compound/C02631
s_0166	2-methylbutanal [cytoplasm]	http://identifiers.org/chebi/CHEBI:16182
s_0166	2-methylbutanal [cytoplasm]	http://identifiers.org/kegg.compound/C02223
s_0167	2-methylbutanal [extracellular]	http://identifiers.org/chebi/CHEBI:16182
s_0167	2-methylbutanal [extracellular]	http://identifiers.org/kegg.compound/C02223
s_0168	2-methylbutanal [mitochondrion]	http://identifiers.org/chebi/CHEBI:16182
s_0168	2-methylbutanal [mitochondrion]	http://identifiers.org/kegg.compound/C02223
s_0169	2-methylbutanol [cytoplasm]	http://identifiers.org/chebi/CHEBI:48945
s_0170	2-methylbutanol [extracellular]	http://identifiers.org/chebi/CHEBI:48945
s_0171	2-methylbutanol [mitochondrion]	http://identifiers.org/chebi/CHEBI:48945
s_0172	2-methylbutyl acetate [cytoplasm]	http://identifiers.org/chebi/CHEBI:50585
s_0173	2-methylbutyl acetate [extracellular]	http://identifiers.org/chebi/CHEBI:50585
s_0174	2-methylcitrate [mitochondrion]	http://identifiers.org/chebi/CHEBI:15598
s_0174	2-methylcitrate [mitochondrion]	http://identifiers.org/kegg.compound/C02225
s_0176	2-oxoadipic acid [cytoplasm]	http://identifiers.org/chebi/CHEBI:57499
s_0176	2-oxoadipic acid [cytoplasm]	http://identifiers.org/kegg.compound/C00322
s_0177	2-oxoadipic acid [mitochondrion]	http://identifiers.org/chebi/CHEBI:57499
s_0177	2-oxoadipic acid [mitochondrion]	http://identifiers.org/kegg.compound/C00322
s_0178	2-oxobutanoate [cytoplasm]	http://identifiers.org/chebi/CHEBI:16763
s_0178	2-oxobutanoate [cytoplasm]	http://identifiers.org/kegg.compound/C00109
s_0179	2-oxobutanoate [mitochondrion]	http://identifiers.org/chebi/CHEBI:16763
s_0179	2-oxobutanoate [mitochondrion]	http://identifiers.org/kegg.compound/C00109
s_0180	2-oxoglutarate [cytoplasm]	http://identifiers.org/chebi/CHEBI:16810
s_0180	2-oxoglutarate [cytoplasm]	http://identifiers.org/kegg.compound/C00026
s_0181	2-oxoglutarate [extracellular]	http://identifiers.org/chebi/CHEBI:16810
s_0181	2-oxoglutarate [extracellular]	http://identifiers.org/kegg.compound/C00026
s_0182	2-oxoglutarate [mitochondrion]	http://identifiers.org/chebi/CHEBI:16810
s_0182	2-oxoglutarate [mitochondrion]	http://identifiers.org/kegg.compound/C00026
s_0183	2-oxoglutarate [nucleus]	http://identifiers.org/chebi/CHEBI:16810
s_0183	2-oxoglutarate [nucleus]	http://identifiers.org/kegg.compound/C00026
s_0184	2-oxoglutarate [peroxisome]	http://identifiers.org/chebi/CHEBI:16810
s_0184	2-oxoglutarate [peroxisome]	http://identifiers.org/kegg.compound/C00026
s_0185	2-phenylethanol [cytoplasm]	http://identifiers.org/chebi/CHEBI:49000
s_0185	2-phenylethanol [cytoplasm]	http://identifiers.org/kegg.compound/C05853
s_0186	2-phenylethanol [extracellular]	http://identifiers.org/chebi/CHEBI:49000
s_0186	2-phenylethanol [extracellular]	http://identifiers.org/kegg.compound/C05853
s_0187	2-phenylethanol [mitochondrion]	http://identifiers.org/chebi/CHEBI:49000
s_0187	2-phenylethanol [mitochondrion]	http://identifiers.org/kegg.compound/C05853
s_0188	2-phospho-D-glyceric acid [cytoplasm]	http://identifiers.org/chebi/CHEBI:58289
s_0188	2-phospho-D-glyceric acid [cytoplasm]	http://identifiers.org/kegg.compound/C00631
s_0189	geranylgeranyl diphosphate [cytoplasm]	http://identifiers.org/chebi/CHEBI:58756
s_0189	geranylgeranyl diphosphate [cytoplasm]	http://identifiers.org/kegg.compound/C00353
s_0190	farnesyl diphosphate [cytoplasm]	http://identifiers.org/chebi/CHEBI:175763
s_0190	farnesyl diphosphate [cytoplasm]	http://identifiers.org/kegg.compound/C00448
s_0191	farnesyl diphosphate [mitochondrion]	http://identifiers.org/chebi/CHEBI:175763
s_0191	farnesyl diphosphate [mitochondrion]	http://identifiers.org/kegg.compound/C00448
s_0192	3',5'-cyclic AMP [cytoplasm]	http://identifiers.org/chebi/CHEBI:58165
s_0192	3',5'-cyclic AMP [cytoplasm]	http://identifiers.org/kegg.compound/C00575
s_0193	3',5'-cyclic CMP [cytoplasm]	http://identifiers.org/chebi/CHEBI:58003
s_0193	3',5'-cyclic CMP [cytoplasm]	http://identifiers.org/kegg.compound/C00941
s_0194	3',5'-cyclic dAMP [cytoplasm]	http://identifiers.org/chebi/CHEBI:28074
s_0194	3',5'-cyclic dAMP [cytoplasm]	http://identifiers.org/kegg.compound/C00968
s_0195	3',5'-cyclic GMP [cytoplasm]	http://identifiers.org/chebi/CHEBI:57746
s_0195	3',5'-cyclic GMP [cytoplasm]	http://identifiers.org/kegg.compound/C00942
s_0196	3',5'-cyclic IMP [cytoplasm]	http://identifiers.org/chebi/CHEBI:27541
s_0196	3',5'-cyclic IMP [cytoplasm]	http://identifiers.org/kegg.compound/C00943
s_0197	3'-dephospho-CoA [cytoplasm]	http://identifiers.org/chebi/CHEBI:57328
s_0197	3'-dephospho-CoA [cytoplasm]	http://identifiers.org/kegg.compound/C00882
s_0200	3'-dephospho-CoA [mitochondrion]	http://identifiers.org/chebi/CHEBI:57328
s_0200	3'-dephospho-CoA [mitochondrion]	http://identifiers.org/kegg.compound/C00882
s_0201	3'-phospho-5'-adenylyl sulfate [cytoplasm]	http://identifiers.org/chebi/CHEBI:58339
s_0201	3'-phospho-5'-adenylyl sulfate [cytoplasm]	http://identifiers.org/kegg.compound/C00053
s_0204	3-(4-hydroxyphenyl)pyruvate [cytoplasm]	http://identifiers.org/chebi/CHEBI:36242
